source_workspace,source_relative_path,source_sha256,classification,target_relative_path,action,notes
TausFCCee_pre_consolidation_20260901,docs/EVENT_DISPLAY_AUDIT_20260821.md,d3f7f86d69bd162aee78a72ff4d860283212856d538c5c3b254574f28b1bc6cf,HISTORICAL_ONLY,,NOT_PORTED,No EventDisplay change needed in Stage 3
ild-tau_pre_consolidation_20260901,modules/truth_association_comparison.py,7be630eb9d4b18c6f16e1b08eb725c43a64dcc538257e8ff9bdad850eba31101,MAINTAINED_ANALYSIS,modules/fcc_workflow_interface.py,PARTIAL_PORT_DATA_CONSUMER,Representative-PFO inversion retained; duplicate G reproduction excluded
ild-tau_pre_consolidation_20260901,tests/test_truth_association_comparison.py,7b8e43a922fda4aef0402e490372099ed55066891b68e1ab227b41489286d58f,CORE_MAINTAINED,tests/test_geometric_association_v1.py,ADAPTED_REGRESSION,G semantics tested through authoritative NeutralRecover
ild-tau_pre_consolidation_20260901,scripts/produce_migration_matrices.py,10b294045d26dd77f3a6555a2eab9bd19100cba5dbc2687520378453df261d20,MAINTAINED_ANALYSIS,scripts/analysis/produce_migration_matrices.py,PORTED_PARAMETERIZED,Explicit products/manifests/output config
ild-tau_pre_consolidation_20260901,scripts/extend_migration_matrices_tau_origin.py,3c720d496eb2d68d097e979fa6a8c897bfc122686ef4f444a15ef8bf6a8537dc,MAINTAINED_ANALYSIS,scripts/analysis/extend_migration_matrices_tau_origin.py,PORTED_PARAMETERIZED,Tau-origin extension retained with common config
ild-tau_pre_consolidation_20260901,scripts/audit_tau_topology_equalstats.py,14fc53964b2b1ae08406f35327fb779b56cb0f87ea4f26ee4065a53f2d6113b4,DIAGNOSTIC_REUSABLE,,REPORT_ONLY,Freeze builder remains artifact-graph-specific
ild-tau_pre_consolidation_20260901,scripts/audit_pid_equalstats.py,68fd14254e92fc6c9e1f6737eb9a9a93206548bd4f4edb159c886c10203c5fd3,DIAGNOSTIC_REUSABLE,,REPORT_ONLY,Freeze builder remains artifact-graph-specific
ild-tau_pre_consolidation_20260901,scripts/audit_pfo_reconstruction_efficiency_equalstats.py,09acf94c74e07f418a2bf2500d50daef6b15be84f77978a1b083f4dec19078bf,DIAGNOSTIC_REUSABLE,,REPORT_ONLY,Freeze builder remains artifact-graph-specific
ild-tau_pre_consolidation_20260901,scripts/audit_photon_origin_discovery_equalstats.py,06cbf7a60ce4e91d0b8a97c51cbbb8987f1d950b312116f6c2bc3977b71f5183,DIAGNOSTIC_REUSABLE,,REPORT_ONLY,Definitions centralized; freeze builder not active
ild-tau_pre_consolidation_20260901,scripts/audit_photon_origin_reco_equalstats.py,f5b8374be6a1c9078c946dcf21b1471e7380992ae71fe14450e8387a038862e2,DIAGNOSTIC_REUSABLE,,REPORT_ONLY,Final report retained
ild-tau_pre_consolidation_20260901,scripts/audit_charged_pion_matching_100evt.py,4d16d211b248ccf4346c926e850e3bbc9ce33c1d0866c18b18662ab6b2c3f897,DO_NOT_PORT,,NOT_PORTED,One-off 100-event diagnostic
ild-tau_pre_consolidation_20260901,scripts/audit_unmatched_photon_conversions_100evt.py,e0790027ab08401f7a3dc97beb078c9608bd14b99ea4948b2de6d994bb372ced,DO_NOT_PORT,,NOT_PORTED,One-off 100-event diagnostic
ild-tau_pre_consolidation_20260901,docs/FCC_TAU_W_P8O_RECONSTRUCTION_CONSOLIDATED_REPORT_20260901.md,46df78cc41b467a36502aeac955cd741304fef35819cf74527d8442fb3e3665f,SCIENTIFIC_DOCUMENTATION,docs/scientific/consolidated/FCC_TAU_W_P8O_RECONSTRUCTION_CONSOLIDATED_REPORT_20260901.md,COPIED_UNCHANGED,Primary consolidated freeze
ild-tau_pre_consolidation_20260901,docs/FCC_TAU_W_P8O_RECONSTRUCTION_CONSOLIDATED_REPORT_20260901.pdf,d1cdfc773a99aa2840c2915d8d6afd056d16ea7a152fd723388b5f8926bc8449,SCIENTIFIC_DOCUMENTATION,docs/scientific/consolidated/FCC_TAU_W_P8O_RECONSTRUCTION_CONSOLIDATED_REPORT_20260901.pdf,COPIED_UNCHANGED,Primary consolidated freeze
ild-tau_pre_consolidation_20260901,docs/FCC_TAU_W_P8O_RECONSTRUCTION_CONSOLIDATED_REPORT_20260901.tex,2986f88c3d1a059bb001b6cb755b92fe98b82dc0beb685b9fe53511f2e679629,SCIENTIFIC_DOCUMENTATION,docs/scientific/consolidated/FCC_TAU_W_P8O_RECONSTRUCTION_CONSOLIDATED_REPORT_20260901.tex,COPIED_UNCHANGED,Primary consolidated source
ild-tau_pre_consolidation_20260901,docs/MIGRATION_MATRICES_W_P8_G_LDIRECT_LANCESTOR_20260828.md,dafb75775214329c7eebd9e1fa253405766f885298b3e15eb70a340808647e8d,SCIENTIFIC_DOCUMENTATION,docs/scientific/supporting_reports/MIGRATION_MATRICES_W_P8_G_LDIRECT_LANCESTOR_20260828.md,COPIED_UNCHANGED,Supporting current
ild-tau_pre_consolidation_20260901,docs/TAU_TOPOLOGY_W_P8O_EQUALSTATS_AUDIT_20260831.md,f7971090a9d5e37586e8df6517efd26f096b62d38ed5aa5be53ef321e333b2d3,SCIENTIFIC_DOCUMENTATION,docs/scientific/supporting_reports/TAU_TOPOLOGY_W_P8O_EQUALSTATS_AUDIT_20260831.md,COPIED_UNCHANGED,Supporting current
ild-tau_pre_consolidation_20260901,docs/PID_AUDIT_W_P8O_EQUALSTATS_20260901.md,771249b07c19426afc567af5c96af2f9de14d96cac78f0376d569e0f6b190c85,SCIENTIFIC_DOCUMENTATION,docs/scientific/supporting_reports/PID_AUDIT_W_P8O_EQUALSTATS_20260901.md,COPIED_UNCHANGED,Supporting current
ild-tau_pre_consolidation_20260901,docs/PFO_RECONSTRUCTION_EFFICIENCY_W_P8O_EQUALSTATS_20260901.md,0f35a3c0c76a06e929c8acb6e1dbd8d96ed973d45b615be606c7520e33f91f66,SCIENTIFIC_DOCUMENTATION,docs/scientific/supporting_reports/PFO_RECONSTRUCTION_EFFICIENCY_W_P8O_EQUALSTATS_20260901.md,COPIED_UNCHANGED,Supporting current
ild-tau_pre_consolidation_20260901,docs/PHOTON_ORIGIN_DISCOVERY_W_P8O_EQUALSTATS_20260901.md,d5e20c7f829b4b20e6e5870bcfc48c342317eb735b7f96cf1f8ed82e263e8c58,SCIENTIFIC_DOCUMENTATION,docs/scientific/supporting_reports/PHOTON_ORIGIN_DISCOVERY_W_P8O_EQUALSTATS_20260901.md,COPIED_UNCHANGED,Supporting current
ild-tau_pre_consolidation_20260901,docs/PHOTON_ORIGIN_RECO_AUDIT_W_P8O_EQUALSTATS_20260901.md,ba72143746db2a6ac8b165698de970cd6ec41217d3ff04f6e0b47867f769168a,SCIENTIFIC_DOCUMENTATION,docs/scientific/supporting_reports/PHOTON_ORIGIN_RECO_AUDIT_W_P8O_EQUALSTATS_20260901.md,COPIED_UNCHANGED,Supporting current
ild-tau_pre_consolidation_20260901,artifacts/fcc_tau_w_p8o_consolidated_freeze_20260901/manifest/freeze_manifest.csv,ec07e4ff4b1fe42d6fd5a9c0f3168b63aac6552deded2558ccbf652099705b67,SCIENTIFIC_DOCUMENTATION,docs/scientific/freezes/20260901/freeze_manifest.csv,COPIED_UNCHANGED,Freeze metadata
ild-tau_pre_consolidation_20260901,artifacts/fcc_tau_w_p8o_consolidated_freeze_20260901/manifest/freeze_manifest.json,4fdc1d9c12a0d726b9690aeec6ada2ee2e300ca9df6f1961f78e6f82b86eb25d,SCIENTIFIC_DOCUMENTATION,docs/scientific/freezes/20260901/freeze_manifest.json,COPIED_UNCHANGED,Freeze metadata
ild-tau_pre_consolidation_20260901,artifacts/fcc_tau_w_p8o_consolidated_freeze_20260901/manifest/freeze_summary.txt,78da4c0a49bd721e031f0b29adeee43c365161f609714142e3f1e0b256aa40ee,SCIENTIFIC_DOCUMENTATION,docs/scientific/freezes/20260901/freeze_summary.txt,COPIED_UNCHANGED,Freeze metadata
ild-tau_pre_consolidation_20260901,artifacts/fcc_tau_w_p8o_consolidated_freeze_20260901/validation/consolidated_report_validation.json,4c7892bd0ae6058dd42e191c6af355308e752903d6e5f250c710c8c841dd27ad,SCIENTIFIC_DOCUMENTATION,docs/scientific/freezes/20260901/consolidated_report_validation.json,COPIED_UNCHANGED,Freeze validation
ild-tau_pre_consolidation_20260901,artifacts/fcc_tau_w_p8o_consolidated_freeze_20260901/validation/file_validation.csv,f3babcc25f47fbdb4ad2e4430cec2df51b8b4f68310824cdf92888ea7ba699c3,SCIENTIFIC_DOCUMENTATION,docs/scientific/freezes/20260901/file_validation.csv,COPIED_UNCHANGED,Freeze validation
ild-tau_pre_consolidation_20260901,artifacts/fcc_tau_w_p8o_consolidated_freeze_20260901/validation/manifest_validation.json,8bbbd83be05c4ce8f3e5e578cd02c6f1cdf403ebe4d2ca1f787525ec45b465b3,SCIENTIFIC_DOCUMENTATION,docs/scientific/freezes/20260901/manifest_validation.json,COPIED_UNCHANGED,Freeze validation
ild-tau_pre_consolidation_20260901,docs/TAU_TOPOLOGY_W_P8O_EQUALSTATS_PRIMARY_PLOTS_20260831.pdf,20048a3f80fd52fc4b1b8cb6950a30ff4a3670ad91c3d126f4863d3708f5cedc,DO_NOT_PORT,,NOT_PORTED,Large supporting plot set
ild-tau_pre_consolidation_20260901,docs/TAU_TOPOLOGY_W_P8O_EQUALSTATS_BACKUP_PLOTS_20260831.pdf,2991f0c6a9282230bfc2cd13aa38c7a02fcc9e0182f60d48b995e743307067ab,DO_NOT_PORT,,NOT_PORTED,Large backup plot set
ild-tau_pre_consolidation_20260901,docs/PID_AUDIT_W_P8O_EQUALSTATS_PRIMARY_PLOTS_20260901.pdf,a52a57a5764948e68687257613ceacb1c65f058fadf498895bbacffdc489a269,DO_NOT_PORT,,NOT_PORTED,Large supporting plot set
ild-tau_pre_consolidation_20260901,docs/PID_AUDIT_W_P8O_EQUALSTATS_BACKUP_PLOTS_20260901.pdf,3fd2874917cd0c1d586974c37df5e862faad89463d63380fde23d96d9b513c1a,DO_NOT_PORT,,NOT_PORTED,Large backup plot set
ild-tau_pre_consolidation_20260901,docs/PFO_RECONSTRUCTION_EFFICIENCY_W_P8O_EQUALSTATS_PRIMARY_PLOTS_20260901.pdf,5699525658deb14331b84237d4d66a36f13d2b6224c83cad0a4b4485c2648b5c,DO_NOT_PORT,,NOT_PORTED,Large supporting plot set
ild-tau_pre_consolidation_20260901,docs/PFO_RECONSTRUCTION_EFFICIENCY_W_P8O_EQUALSTATS_BACKUP_PLOTS_20260901.pdf,055f6ad0e0ead1c90866cafec0c495458cc47e022d634a28ff7982bbf34009a9,DO_NOT_PORT,,NOT_PORTED,Large backup plot set
ild-tau_pre_consolidation_20260901,docs/PHOTON_ORIGIN_RECO_AUDIT_W_P8O_EQUALSTATS_PRIMARY_PLOTS_20260901.pdf,b8e0437c8979f8ec45f3790f46fdea6c94cbfa757507af231c2a0c7ed18652fa,DO_NOT_PORT,,NOT_PORTED,Large supporting plot set
ild-tau_pre_consolidation_20260901,docs/PHOTON_ORIGIN_RECO_AUDIT_W_P8O_EQUALSTATS_BACKUP_PLOTS_20260901.pdf,79a60c259c7e7e4ff6efc0318a25028db23e670bde4d2232d8e627a6813160f1,DO_NOT_PORT,,NOT_PORTED,Large backup plot set
